""," ","std 1","std 2","std 3","std 4","bl","GOXQC1","115","116","117","118","119","120","121","122","GOXQC2","123","124","125","126","127","128","129","130","GOXQC3","131","132","133","134","135","136","137","138","GOXQC4","139","140","141","142","143","144","145","146","GOXQC5","147","148","149","150","151","152","153","154","GOXQC6","155","156","157","158","159","160","161","162","GOXQC7","163","164","165","166","167","168","169","GOXQC8","std 1","std 2","std 3","std 4"
"1",NA,"0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","Sample Name","1A12","1B12","1C12","1D12","1D11","1A10","1A1","1B1","1C1","1D1","1.00E+01","1F1","1G1","1H1","1B10","1A2","1B2","1C2","1D2","1.00E+02","1F2","1G2","1H2","1C10","1A3","1B3","1C3","1D3","1.00E+03","1F3","1G3","1H3","1D10","1A4","1B4","1C4","1D4","1.00E+04","1F4","1G4","1H4","1.00E+10","1A5","1B5","1C5","1D5","1.00E+05","1F5","1G5","1H5","1F10","1A6","1B6","1C6","1D6","1.00E+06","1F6","1G6","1H6","1G10","1A7","1B7","1C7","1D7","1.00E+07","1F7","1G7","1H10","1.00E+12","1F12","1G12","1H12"
"3","Diameter","inj1","inj2","inj3","inj4","inj5","inj6","inj7","inj8","inj9","inj10","inj11","inj12","inj13","inj14","inj15","inj16","inj17","inj18","inj19","inj20","inj21","inj22","inj23","inj24","inj25","inj26","inj27","inj28","inj29","inj30","inj31","inj32","inj33","inj34","inj35","inj36","inj37","inj38","inj39","inj40","inj41","inj42","inj43","inj44","inj45","inj46","inj47","inj48","inj49","inj50","inj51","inj52","inj53","inj54","inj55","inj56","inj57","inj58","inj59","inj60","inj61","inj62","inj63","inj64","inj65","inj66","inj67","inj68","inj69","inj70","inj71","inj72"
"11","6.068298","0","0","2.22031514964067","0","0","2.22031514964067","2.22031514964067","6.660945448922","0","0","0","0","0","0","2.22031514964067","2.22031514964067","0","0","2.22031514964067","2.22031514964067","0","0","11.1015757482033","0","0","0","2.22031514964067","0","2.22031514964067","4.44063029928133","2.22031514964067","0","0","2.22031514964067","0","2.22031514964067","2.22031514964067","0","0","0","2.22031514964067","0","0","0","4.44063029928133","0","0","2.22031514964067","0","2.22031514964067","0","0","0","2.22031514964067","0","0","4.44063029928133","0","0","2.22031514964067","0","0","0","0","2.22031514964067","4.44063029928133","2.22031514964067","2.22031514964067","0","0","6.660945448922","2.22031514964067"
"12","6.07562","0","0","0","0","2.21406395209217","2.21406395209217","0","6.6421918562765","8.85625580836867","4.42812790418433","2.21406395209217","4.42812790418433","0","2.21406395209217","0","2.21406395209217","2.21406395209217","0","0","2.21406395209217","0","0","4.42812790418433","0","4.42812790418433","6.6421918562765","2.21406395209217","0","2.21406395209217","0","2.21406395209217","4.42812790418433","0","6.6421918562765","4.42812790418433","2.21406395209217","0","2.21406395209217","0","0","0","0","0","0","2.21406395209217","4.42812790418433","4.42812790418433","0","0","6.6421918562765","0","4.42812790418433","0","0","4.42812790418433","4.42812790418433","0","0","0","2.21406395209217","2.21406395209217","2.21406395209217","2.21406395209217","2.21406395209217","0","4.42812790418433","0","0","0","4.42812790418433","0","2.21406395209217"
"13","6.083071","0","2.2077352617757","11.0386763088785","0","0","0","0","0","0","4.41547052355141","2.2077352617757","2.2077352617757","2.2077352617757","4.41547052355141","0","0","4.41547052355141","2.2077352617757","0","0","2.2077352617757","2.2077352617757","8.83094104710282","0","6.62320578532711","8.83094104710282","0","0","2.2077352617757","2.2077352617757","0","4.41547052355141","0","0","0","2.2077352617757","0","2.2077352617757","2.2077352617757","2.2077352617757","0","2.2077352617757","0","0","0","4.41547052355141","8.83094104710282","4.41547052355141","0","0","2.2077352617757","0","0","2.2077352617757","0","0","6.62320578532711","2.2077352617757","0","0","0","0","2.2077352617757","2.2077352617757","0","2.2077352617757","0","2.2077352617757","0","0","0","0"
"14","6.090411","0","4.40306566418291","0","4.40306566418291","0","0","2.20153283209146","4.40306566418291","2.20153283209146","2.20153283209146","2.20153283209146","2.20153283209146","2.20153283209146","0","0","2.20153283209146","0","0","0","4.40306566418291","0","2.20153283209146","8.80613132836582","0","2.20153283209146","0","0","0","4.40306566418291","2.20153283209146","2.20153283209146","2.20153283209146","0","0","2.20153283209146","0","4.40306566418291","0","0","2.20153283209146","2.20153283209146","4.40306566418291","0","0","0","0","2.20153283209146","2.20153283209146","2.20153283209146","2.20153283209146","0","0","2.20153283209146","0","0","4.40306566418291","0","2.20153283209146","0","2.20153283209146","0","2.20153283209146","4.40306566418291","0","2.20153283209146","2.20153283209146","2.20153283209146","11.0076641604573","0","0","0","0"
"15","6.09788","0","0","0","4.39050751679037","0","2.19525375839518","2.19525375839518","8.78101503358074","0","0","0","2.19525375839518","0","2.19525375839518","0","0","2.19525375839518","0","4.39050751679037","4.39050751679037","0","4.39050751679037","10.9762687919759","2.19525375839518","0","2.19525375839518","0","4.39050751679037","0","0","0","2.19525375839518","2.19525375839518","2.19525375839518","0","2.19525375839518","0","2.19525375839518","0","0","4.39050751679037","0","2.19525375839518","2.19525375839518","8.78101503358074","4.39050751679037","0","2.19525375839518","0","0","0","0","2.19525375839518","0","2.19525375839518","0","4.39050751679037","0","0","0","2.19525375839518","2.19525375839518","2.19525375839518","0","4.39050751679037","0","0","4.39050751679037","0","2.19525375839518","0","8.78101503358074"
"16","6.105238","0","0","0","2.18909970876784","2.18909970876784","2.18909970876784","2.18909970876784","0","2.18909970876784","4.37819941753568","0","2.18909970876784","0","0","2.18909970876784","0","4.37819941753568","4.37819941753568","0","2.18909970876784","2.18909970876784","0","4.37819941753568","0","4.37819941753568","2.18909970876784","2.18909970876784","2.18909970876784","0","0","2.18909970876784","0","0","0","2.18909970876784","0","0","2.18909970876784","0","4.37819941753568","0","0","0","2.18909970876784","2.18909970876784","0","2.18909970876784","6.56729912630352","2.18909970876784","0","0","0","2.18909970876784","0","0","0","0","0","0","0","0","4.37819941753568","2.18909970876784","2.18909970876784","2.18909970876784","0","0","0","4.37819941753568","2.18909970876784","0","2.18909970876784"
"17","6.112725","0","2.18286985304299","4.36573970608597","0","0","0","2.18286985304299","0","2.18286985304299","0","4.36573970608597","2.18286985304299","0","2.18286985304299","0","0","6.54860955912896","2.18286985304299","0","4.36573970608597","0","4.36573970608597","4.36573970608597","0","4.36573970608597","4.36573970608597","4.36573970608597","4.36573970608597","2.18286985304299","0","0","0","2.18286985304299","0","0","0","0","2.18286985304299","2.18286985304299","2.18286985304299","2.18286985304299","0","2.18286985304299","0","0","0","8.73147941217194","2.18286985304299","0","2.18286985304299","0","2.18286985304299","4.36573970608597","0","4.36573970608597","2.18286985304299","2.18286985304299","0","4.36573970608597","4.36573970608597","4.36573970608597","4.36573970608597","0","0","6.54860955912896","0","0","6.54860955912896","0","0","0","0"
"18","6.120101","0","0","0","2.17676379679987","0","2.17676379679987","2.17676379679987","2.17676379679987","2.17676379679987","0","0","0","2.17676379679987","2.17676379679987","2.17676379679987","2.17676379679987","0","0","2.17676379679987","0","0","4.35352759359973","0","0","0","2.17676379679987","0","2.17676379679987","0","0","4.35352759359973","0","0","4.35352759359973","0","0","2.17676379679987","0","0","2.17676379679987","0","0","2.17676379679987","0","0","0","0","0","0","2.17676379679987","0","0","0","2.17676379679987","2.17676379679987","2.17676379679987","0","0","0","4.35352759359973","2.17676379679987","2.17676379679987","2.17676379679987","0","2.17676379679987","2.17676379679987","0","6.5302913903996","0","0","0","2.17676379679987"
"19","6.127546","0","2.17063205032439","0","0","0","0","4.34126410064878","0","2.17063205032439","4.34126410064878","0","0","2.17063205032439","0","0","0","0","2.17063205032439","0","0","2.17063205032439","2.17063205032439","4.34126410064878","0","0","0","2.17063205032439","0","2.17063205032439","0","6.51189615097317","0","2.17063205032439","0","0","2.17063205032439","0","2.17063205032439","2.17063205032439","0","2.17063205032439","2.17063205032439","0","6.51189615097317","2.17063205032439","0","2.17063205032439","0","2.17063205032439","0","0","0","4.34126410064878","0","0","0","2.17063205032439","8.68252820129756","0","2.17063205032439","0","2.17063205032439","2.17063205032439","0","4.34126410064878","0","0","0","0","0","6.51189615097317","0"
"20","6.135062","0","0","0","0","0","4.32894728467699","6.49342092701548","2.16447364233849","2.16447364233849","4.32894728467699","0","0","0","4.32894728467699","0","2.16447364233849","0","0","2.16447364233849","2.16447364233849","0","4.32894728467699","0","0","2.16447364233849","0","0","2.16447364233849","2.16447364233849","4.32894728467699","0","4.32894728467699","2.16447364233849","0","2.16447364233849","2.16447364233849","0","0","0","2.16447364233849","2.16447364233849","2.16447364233849","0","0","2.16447364233849","6.49342092701548","2.16447364233849","2.16447364233849","4.32894728467699","4.32894728467699","0","2.16447364233849","0","0","0","0","4.32894728467699","0","2.16447364233849","0","2.16447364233849","0","0","0","2.16447364233849","2.16447364233849","2.16447364233849","4.32894728467699","2.16447364233849","0","0","4.32894728467699"
