"scan1","scan2","scan3","scan4","sample.diameters"
0,0,0,8.11868269897586,6.31
0,0,0,0,6.32
0,0,0,0,6.32
0,0,0,16.1794552949398,6.32
0,0,0,0,6.32
0,0,0,0,6.32
0,0,0,0,6.32
0,0,0,0,6.32
0,0,0,8.06096309382457,6.33
0,8.06096309382457,0,0,6.33
0,0,0,0,6.33
0,0,0,0,6.33
0,0,0,0,6.33
0,0,0,0,6.33
0,0,0,0,6.33
0,0,0,0,6.33
0,0,0,0,6.34
0,0,0,0,6.34
0,0,0,0,6.34
0,0,0,0,6.34
0,0,0,0,6.34
0,0,0,0,6.34
0,0,0,0,6.34
0,0,0,0,6.35
0,0,8.00399876168517,0,6.35
0,0,0,0,6.35
0,0,0,0,6.35
0,0,0,0,6.35
0,0,0,0,6.35
0,0,0,0,6.35
0,0,0,7.97579566495205,6.36
0,0,0,0,6.36
0,0,0,0,6.36
0,0,0,0,6.36
0,0,0,0,6.36
0,0,0,0,6.36
0,0,7.97579566495205,7.97579566495205,6.36
0,0,0,0,6.36
0,0,0,0,6.37
0,0,0,0,6.37
0,0,0,0,6.37
0,0,0,0,6.37
0,0,0,0,6.37
0,0,0,0,6.37
0,0,0,0,6.37
0,0,0,0,6.38
0,0,0,0,6.38
0,0,0,0,6.38
0,0,0,0,6.38
0,0,0,0,6.38
0,0,0,0,6.38
0,0,0,0,6.38
0,0,0,0,6.39
0,0,0,0,6.39
0,0,0,0,6.39
0,0,0,0,6.39
0,0,0,7.89228308136365,6.39
0,0,0,0,6.39
0,0,0,0,6.39
0,0,0,0,6.39
0,0,0,0,6.4
0,0,0,0,6.4
0,0,0,0,6.4
0,0,0,0,6.4
0,0,0,0,6.4
0,0,7.86480577863362,0,6.4
0,0,0,0,6.4
0,0,0,0,6.41
0,0,0,0,6.41
0,0,0,0,6.41
0,0,0,0,6.41
0,0,0,7.83750595564204,6.41
0,0,0,0,6.41
0,0,0,0,6.41
0,0,0,0,6.42
0,0,0,0,6.42
0,0,0,0,6.42
0,0,0,0,6.42
7.81038205578814,0,0,0,6.42
0,0,0,0,6.42
0,0,0,0,6.42
0,0,0,0,6.43
0,0,0,7.7834325376524,6.43
0,0,0,0,6.43
0,0,0,0,6.43
0,0,0,0,6.43
0,0,0,0,6.43
0,0,0,0,6.43
0,0,0,0,6.43
0,0,0,0,6.44
0,0,0,0,6.44
0,0,0,0,6.44
0,0,0,0,6.44
0,0,0,0,6.44
0,0,0,0,6.44
0,0,0,0,6.44
0,0,0,0,6.45
0,0,0,0,6.45
0,0,0,0,6.45
0,0,0,0,6.45
0,0,0,0,6.45
0,0,0,0,6.45
0,0,0,0,6.45
0,0,0,0,6.46
0,0,0,0,6.46
0,0,0,0,6.46
0,0,7.70361508389115,0,6.46
0,0,0,0,6.46
0,0,0,0,6.46
0,0,7.70361508389115,0,6.46
0,0,0,0,6.47
0,0,0,0,6.47
0,0,0,0,6.47
0,0,0,0,6.47
0,0,0,7.67734797676119,6.47
0,0,0,0,6.47
0,0,0,0,6.47
0,0,0,0,6.47
0,0,0,0,6.48
0,0,0,0,6.48
0,0,0,0,6.48
0,0,0,0,6.48
0,0,0,7.65124776669516,6.48
0,0,0,0,6.48
0,0,0,0,6.48
0,0,0,0,6.49
0,0,0,0,6.49
0,0,7.62531300021695,0,6.49
0,0,0,0,6.49
0,0,0,0,6.49
0,0,0,0,6.49
0,0,0,0,6.49
0,0,0,0,6.5
0,0,0,0,6.5
0,0,0,0,6.5
0,7.59954223799766,0,0,6.5
0,0,0,0,6.5
0,0,0,0,6.5
0,7.59954223799766,0,0,6.5
0,0,0,0,6.51
0,0,0,0,6.51
0,0,0,0,6.51
0,0,0,0,6.51
0,0,0,0,6.51
0,0,0,0,6.51
0,0,0,0,6.51
0,0,0,0,6.52
0,0,0,0,6.52
0,0,0,0,6.52
0,0,0,0,6.52
0,0,0,0,6.52
0,0,0,0,6.52
0,0,0,0,6.52
0,0,0,0,6.53
0,0,0,0,6.53
0,0,0,0,6.53
0,0,0,0,6.53
7.52319979284437,0,0,0,6.53
0,7.52319979284437,7.52319979284437,0,6.53
0,0,0,7.52319979284437,6.53
0,0,0,0,6.54
